127.0.0.1 - - [01/Dec/2022:09:34:06 +0900] "GET / HTTP/1.1" 200 53844
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:34:07 +0900] "GET /WEB-INF/classes/com/ezen/springboard/VO/Criteria.java HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:34:07 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:34:10 +0900] "GET / HTTP/1.1" 200 53844
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:34:10 +0900] "GET /images/KKURLY_LOGO2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:34:45 +0900] "GET /product/searchProduct.do HTTP/1.1" 200 19423
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:34:45 +0900] "GET /js/jquery-3.6.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:34:45 +0900] "GET /images/KKURLY_LOGO.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:34:45 +0900] "GET /upload/20221129162840_9f0b55be-b3e7-4b30-96b5-0d19ccdaa389_20221128104145_c39290ab-dd59-4169-8ebf-3597c6ebefd7_html5.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:34:45 +0900] "GET /upload/20221129164552_4b5ac47c-a813-4876-bd8d-b000f15935c3_20221128104145_c39290ab-dd59-4169-8ebf-3597c6ebefd7_html5.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:34:45 +0900] "GET /upload/20221129160900_678bbb24-ab35-4792-bd30-28507ad5e62e_%EB%96%A1%EB%B3%B6%EC%9D%B4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:34:45 +0900] "GET /upload/20221129162752_a9078c86-2332-4376-bf10-30d9505f3bb2_%ED%9A%8C.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:34:45 +0900] "GET /upload/20221129160829_79b2506b-ab40-43fd-8dfc-9ce8234059eb_%ED%9A%8C.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:34:45 +0900] "GET /upload/20221130151042_d9df497a-8549-4739-a112-75d9e38b731b_%EA%B3%A0%EA%B5%AC%EB%A7%88.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:34:45 +0900] "GET /upload/20221129182116_c9242ef3-08f0-4eee-8ecb-40ceecdfffe9_%EA%B3%A0%EA%B5%AC%EB%A7%88.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:34:45 +0900] "GET /upload/img-prod03.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:34:45 +0900] "GET /upload/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:34:45 +0900] "GET /upload/img-prod04.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:34:45 +0900] "GET /upload/img-prod01.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:34:45 +0900] "GET /upload/img-prod06.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:34:45 +0900] "GET /upload/img-prod02.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:34:45 +0900] "GET /upload/img-prod05.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:34:45 +0900] "GET /upload/img-prod07.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:34:45 +0900] "GET /upload/img-prod10.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:34:58 +0900] "POST /product/searchProduct.do HTTP/1.1" 200 6668
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:34:58 +0900] "GET /upload/img-prod03.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:35:00 +0900] "GET /product/prodInsert.do? HTTP/1.1" 200 14429
